exercise,exercise_type,MuscleGroup
Lateral Raise - Bent Over Bench,Dumbell,Shoulders
Lateral Raise - Standing,Dumbell,Shoulders
Upright Row,Barbell,Shoulders
Upright Row,Cable,Shoulders
Lateral Raise,Cable,Shoulders
Reverse Flys,Cable,Shoulders
Shrugs,Dumbell,Shoulders
Shrugs,Barbell,Shoulders
Scoop Press,Dumbell,Shoulders
Front Raises,Dumbell,Shoulders
Hip Huggers,Dumbell,Shoulders
Arnold Press,Dumbell,Shoulders
Sit Ups - Normal,Body,Core
Sit Ups - Roman Chair,Body,Core
Crunches,Body,Core
Crunches - Weighted,Cable,Core
Crunches - Weighted,Dumbell,Core
Corkscrew - Hanging,Body,Core
Plank,Body,Core
Corkscrew - Resting,Body,Core
Kneeling Rope Crunch,Cable,Core
KB Walk,Kettlebell,Core
KB Side Bend,Kettlebell,Core
Leg Raises - Bent Leg Hanging,Body,Core
Leg Raises - Bent Leg Resting,Body,Core
Leg Raises - Straight Leg Hanging,Body,Core
Leg Raises - Straight Leg Resting,Body,Core
Good Mornings,Barbell,Legs
Hamstring Curls,Cable,Legs
Squat - Front,Barbell,Legs
Squat - Back,Barbell,Legs
Leg Press,Machine,Legs
Hack Squat,Machine,Legs
Bulgarian Split Squat,Dumbell,Legs
Bulgarian Split Squat,Barbell,Legs
Romanian Deadlifts,Barbell,Legs
Romanian Deadlifts,Dumbell,Legs
ISO Lateral Leg Extensions,Machine,Legs
Sumo Squats,Dumbell,Legs
Assisted Reverse Lunges,Smith,Legs
Hip Thrusts - B-Stance,Dumbell,Legs
Hip Thrusts,Barbell,Legs
Hip Thrusts,Body,Legs
Leg Extensions,Machine,Legs
Oblique Lunges,Plate,Legs
Deadlift,Barbell,Legs
Calf Raises,Barbell,Legs
Calf Raises - Bent Leg,Machine,Legs
Calf Raises - Straight Leg,Machine,Legs
Wrist Curls,Barbell,Forearms
Wrist Curls,Dumbell,Forearms
Curls - Overhand,Barbell,Forearms
Curls - Overhand,Dumbell,Forearms
Wrist Flexion,Cable,Forearms
Wrist Extension,Cable,Forearms
250m Sprints,Erg,Cardio
500m Sprints,Erg,Cardio
750m Sprints,Erg,Cardio
1k Intervals,Erg,Cardio
2k Intervals,Erg,Cardio
5k Intervals,Erg,Cardio
1min Sprint,Erg,Cardio
2min Sprint,Erg,Cardio
3min Sprint,Erg,Cardio
5min Sprint,Erg,Cardio
10min Intervals,Erg,Cardio
15min Intervals,Erg,Cardio
20min Intervals,Erg,Cardio
2k,Erg,Cardio
5k,Erg,Cardio
10k,Erg,Cardio
12k,Erg,Cardio
15k,Erg,Cardio
5k,Run,Cardio
10k,Run,Cardio
12k,Run,Cardio
UT2 Fat-Burn - r18,Erg,Cardio
10k,Bike,Cardio
30min,Bike,Cardio
UT2,Run,Cardio
35km Loop,Bike,Cardio
UT2,Bike,Cardio
Tennis,Body,Cardio
30km Loop,Bike,Cardio
42km Loop,Bike,Cardio
Bent Over Lateral Raise,Dumbell,Shoulders
Tricep Extension Pulldown,Cable,Triceps
Leg Press - Standing,Machine,Legs
Straight Arm Pushdown,Cable,Back
Curls - Simple,Barbell,Biceps
Leg Raises - Bent Leg,Body,Core
ISO Lateral Row,Machine,Back
Plank - Body,Body,Core
Curls - Simple,Dumbell,Biceps
DB Walk,Kettlebell,Core
"Lateral Pull Down - Close Grip, Palms Up",Cable,Back
Pectoral Flys - Mid-Chest - Standing,Cable,Chest
10min Intervals - Erg,Erg,Cardio
1k Intervals - Erg,Erg,Cardio
1k Intervals - Run,Run,Cardio
5k - Run,Run,Cardio
Dead Hang,Body,Back
Deadlift - Stiff Leg,Barbell,Legs
Erg,Erg,Cardio
Hyperextensions,Body,Back
ISO-Lateral wide Pull Down,Machine,Back
Incline chest press,Dumbell,Chest
Leg Curls,Cable,Legs
Lunges,Dumbell,Legs
RDLs b stance,Barbell,Legs
Rear extension,Cable,Triceps
Reverse Deficit Lunges,Barbell,Legs
Reverse flys,Cable,Shoulders
Skull crushers,Cable,Triceps
Upright Row,Dumbell,Shoulders
Yoga,Body,Cardio
